所属区域,小区名称,房屋价格,房屋面积,户型
整租·广渠路 2室1厅 南,朝阳-双井-广渠路,7350 元/月,66.90㎡,/
整租·青年汇佳园 1室1厅 北,精选,6560 元/月,朝阳-朝青-青年汇佳园,/
整租·夏县营街7号院 2室1厅 南/北,顺义-顺义其它-夏县营街7号院,2450 元/月,75.00㎡,/
独栋·柠檬晓生活国际公寓 7号线黄厂站店 超大落地窗 1室1厅,仅剩5间,3850-4128 元/月,54.00-55.00㎡,/
整租·广安康润家园西区 2室1厅 南,丰台-科技园区-广安康润家园西区,5355 元/月,83.00㎡,/
独栋·华润置地·有巢公寓 总部基地店 温馨舒适单人间 开间,仅剩2间,2962 元/月,25.00㎡,/
整租·沙子口路70号 2室1厅 南,东城-永定门-沙子口路70号,6000 元/月,66.61㎡,/
独栋·魔方公寓 北京紫竹院店 海淀近6号线长租特价，毕业生免押金 1室1厅,仅剩2间,6400-6600 元/月,25.00-30.00㎡,/
整租·天通苑东一区 2室1厅 东北,昌平-天通苑-天通苑东一区,6200 元/月,98.00㎡,/
独栋·柚米国际社区 新国展店 15号线旁两室整租首月免租金可月付 2室1厅,仅剩2间,4038-4430 元/月,60.00㎡,/
整租·安贞西里 2室1厅 南/北,朝阳-安贞-安贞西里,7000 元/月,60.00㎡,/
独栋·冠寓 郭公庄地铁站店 可短商旅精选G2户型 开间,仅剩5间,3329 元/月,36.00㎡,/
整租·金泰城丽湾 1室1厅 东北,丰台-菜户营-金泰城丽湾,6500 元/月,60.00㎡,/
独栋·景域社区 景域成寿寺店 静谧LOFT 1室1厅,仅剩3间,3999-5290 元/月,32.00㎡,/
整租·翠微南里 1室1厅 西,海淀-公主坟-翠微南里,4800 元/月,36.00㎡,/
整租·华严北里8号院 2室1厅 南,朝阳-健翔桥-华严北里8号院,7500 元/月,83.00㎡,/
整租·向阳东里 2室1厅 南/北,门头沟-城子-向阳东里,3400 元/月,65.47㎡,/
独栋·柚米国际社区 旭辉26街区店3号楼 朝南可月付毕业季福利免押金 开间,仅剩3间,2220-2635 元/月,25.00㎡,/
整租·曙光里 1室1厅 南,朝阳-三元桥-曙光里,5000 元/月,40.50㎡,/
整租·友谊嘉园三期 2室1厅 南/北,海淀-海淀北部新区-友谊嘉园三期,6500 元/月,85.00㎡,/
整租·万科紫苑 2室1厅 南/北,丰台-青塔-万科紫苑,7800 元/月,95.00㎡,/
独栋·柚米国际社区 南法信地铁站 毕业季特惠价直达望京免1个月租金 1室1厅,仅剩2间,3400-3654 元/月,35.00㎡,/
整租·柏林爱乐二期 1室0厅 北,朝阳-常营-柏林爱乐二期,4000 元/月,49.00㎡,/
独栋·冠寓 北京酒仙桥店 近望京舒适阳光单间B 开间,仅剩2间,4158 元/月,20.00㎡,/
整租·板桥南街7号院 1室1厅 南,顺义-顺义其它-板桥南街7号院,2200 元/月,54.00㎡,/
独栋·冠寓 北京酒仙桥店 差旅学生可月付 开间,仅剩5间,4752 元/月,25.00-27.00㎡,/
整租·汇锦苑 2室1厅 西南,丰台-青塔-汇锦苑,5200 元/月,78.00㎡,/
独栋·乐乎青年社区 建国门店旗舰店 无中介费 开间,仅剩2间,6000 元/月,25.00㎡,/
整租·紫运中路28号院 2室1厅 南,通州-通州其它-紫运中路28号院,4600 元/月,98.00㎡,/
整租·东风苑小区6号院 2室1厅 西南,朝阳-朝阳公园-东风苑小区6号院,8400 元/月,79.70㎡,/
整租·花家地西里二区 3室1厅 南/北,朝阳-望京-花家地西里二区,9500 元/月,86.23㎡,/
独栋·柚米国际社区 北京空港店 免押金毕业生特惠，15号线直达望京，无中介押一付一 1室1厅,仅剩2间,2226-2646 元/月,25.00㎡,/
整租·夏县营街7号院 1室1厅 南/北,顺义-顺义其它-夏县营街7号院,2100 元/月,50.00㎡,/
独栋·柚米国际社区 旭辉26街区店3号楼 毕业季凭学生证可免押金、租金可月付 1室1厅,仅剩2间,2220-2593 元/月,25.00㎡,/
整租·安化北里 1室1厅 北,东城-广渠门-安化北里,6280 元/月,58.26㎡,/
独栋·景域社区 景域成寿寺店 静谧LOFT 1室1厅,仅剩3间,3999-5290 元/月,32.00㎡,/
整租·芳群园三区 2室1厅 南,丰台-方庄-芳群园三区,5000 元/月,60.00㎡,/
独栋·柚米国际社区 新国展店 15号线旁两室整租首月免租金可月付 2室1厅,仅剩2间,4038-4430 元/月,60.00㎡,/
整租·南竺园 2室1厅 南/北,顺义-首都机场-南竺园,3600 元/月,72.00㎡,/
独栋·冠寓 郭公庄地铁站店 可短商旅精选G2户型 开间,仅剩5间,3329 元/月,36.00㎡,/
整租·沿海赛洛城六期 2室1厅 东/西/北,朝阳-百子湾-沿海赛洛城六期,7200 元/月,75.00㎡,/
独栋·城家公寓 员宿北京亦庄马驹桥店 精装直租租期灵活 开间,仅剩2间,3200-3400 元/月,30.00㎡,/
整租·三山新新家园 2室1厅 南/北,顺义-后沙峪-三山新新家园,4800 元/月,73.66㎡,/
独栋·城家公寓 姚家园青年路地铁站店 直租精装、免费健身 开间,24.00-33.00㎡,3000-3500 元/月,/,/7间在租
整租·星河城东区 2室1厅 南,丰台-马家堡-星河城东区,9500 元/月,107.31㎡,/
整租·石园东区 2室1厅 南/北,顺义-顺义城-石园东区,3100 元/月,67.00㎡,/
整租·芍药居北里 2室1厅 南/北,朝阳-芍药居-芍药居北里,6500 元/月,66.77㎡,/
独栋·城家公寓 姚家园青年路地铁站店 直租精装、可短租 开间,仅剩5间,2900-3500 元/月,25.00㎡,/
整租·首科花园 2室1厅 西南,丰台-太平桥-首科花园,7500 元/月,98.43㎡,/
整租·福苑小区 2室1厅 南/北,大兴-大兴其它-福苑小区,3894 元/月,86.00㎡,/
整租·林肯公园B区 3房间 南,亦庄开发区-亦庄-林肯公园B区,9000 元/月,120.00㎡,/
独栋·員宿 大兴生物制药基地店 有折扣家电齐全无中介 开间,25.00㎡,1900 元/月,/,/11间在租
整租·IDCITY艾迪城 4房间 南,顺义-后沙峪-IDCITY艾迪城,9500 元/月,83.93㎡,/
独栋·城家公寓 马甸黄寺大街店 近安华桥站、可月付 开间,仅剩2间,4950-5050 元/月,28.57-30.00㎡,/
整租·首开国风美仑 3室1厅 南/北,通州-通州其它-首开国风美仑,4800 元/月,89.00㎡,/
